DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,Country code,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,ER_2010,ER_2011,ER_2012,ER_2013,ER_2014,ER_2015,ER_2016,ER_2017,ER_2018,ER_2019,ER_2020,ER_2021,ER_2022,ER_2023,ER_2024,ER_2025
IMF.STA:ER(4.0.1),VNM.XDC_USD.PA_RT.A,OBS_VALUE,Vietnam,VNM,Domestic currency per US Dollar,Period average,Annual,Units,18612.91667,20509.75,20828,20933.41667,21148,21697.5675,21935.00083,22370.08667,22602.05,23050.24167,23208.36833,23159.78259,23271.2125,23787.31917,24164.88583,
IMF.STA:ER(4.0.1),BTN.XDC_USD.PA_RT.A,OBS_VALUE,Bhutan,BTN,Domestic currency per US Dollar,Period average,Annual,Units,45.72581212,46.67046667,53.43723333,58.59784542,61.02951446,64.15194446,67.19531281,65.12156865,68.38946709,70.42034054,74.09956688,73.91801282,78.60449058,82.59927645,83.66928158,
IMF.STA:ER(4.0.1),GUY.XDC_USD.PA_RT.A,OBS_VALUE,Guyana,GUY,Domestic currency per US Dollar,Period average,Annual,Units,203.6358333,204.0175,204.3583333,205.3941667,206.4491667,206.5,206.5,206.5,207.7166667,208.5,208.5,208.5,208.5,208.5,208.5,
IMF.STA:ER(4.0.1),HTI.XDC_USD.PA_RT.A,OBS_VALUE,Haiti,HTI,Domestic currency per US Dollar,Period average,Annual,Units,39.7974,40.52282194,41.94972295,43.46278333,45.21598089,50.70642667,63.33581837,64.76968028,68.03175398,88.81496618,93.50980721,89.22663651,115.6307155,141.0359127,131.8109917,
IMF.STA:ER(4.0.1),TUN.XDC_USD.PA_RT.A,OBS_VALUE,Tunisia,TUN,Domestic currency per US Dollar,Period average,Annual,Units,1.4314,1.407783333,1.561891667,1.624658333,1.697675,1.961625,2.148033333,2.419425,2.646866667,2.934433333,2.812358333,2.794466667,3.1036,3.106166667,3.10745,
IMF.STA:ER(4.0.1),SLB.XDC_USD.PA_RT.A,OBS_VALUE,Solomon Islands,SLB,Domestic currency per US Dollar,Period average,Annual,Units,8.064501344,7.64125903,7.355202847,7.3021351,7.375345354,7.914688977,7.948152938,7.887390369,7.952504861,8.173399298,8.21341291,8.030102991,8.155528698,8.375596776,8.454835602,
IMF.STA:ER(4.0.1),COG.XDC_USD.PA_RT.A,OBS_VALUE,"Congo, Republic of",COG,Domestic currency per US Dollar,Period average,Annual,Units,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976,
IMF.STA:ER(4.0.1),AZE.XDC_USD.PA_RT.A,OBS_VALUE,"Azerbaijan, Republic of",AZE,Domestic currency per US Dollar,Period average,Annual,Units,0.80265,0.789686389,0.785645349,0.784541075,0.7843475,1.024563819,1.595721573,1.721154802,1.700016667,1.7,1.7,1.7,1.7,1.7,1.7,
IMF.STA:ER(4.0.1),PHL.XDC_USD.PA_RT.A,OBS_VALUE,Philippines,PHL,Domestic currency per US Dollar,Period average,Annual,Units,45.10966418,43.31313692,42.22879473,42.44618483,44.3951543,45.50283994,47.49246386,50.40371979,52.66142995,51.79578265,49.624096,49.25459773,54.47778584,55.63036322,57.29065507,
IMF.STA:ER(4.0.1),HKG.XDC_USD.PA_RT.A,OBS_VALUE,"Hong Kong Special Administrative Region, People's Republic of China",HKG,Domestic currency per US Dollar,Period average,Annual,Units,7.769166667,7.784,7.756416667,7.756,7.754083333,7.75175,7.76225,7.79325,7.8385,7.835916667,7.75725,7.77325,7.831416667,7.829583333,7.803833333,
